ObservationDate,Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
2020-04-06 00:00:00,,India,2020-04-06 09:37:00,4778.0,136.0,375.0
2020-04-07 00:00:00,,India,2020-04-07 23:11:31,5311.0,150.0,421.0
2020-04-08 00:00:00,,India,2020-04-08 22:59:00,5916.0,178.0,506.0
2020-04-09 00:00:00,,India,2020-04-09 23:09:19,6725.0,226.0,620.0
2020-04-10 00:00:00,,India,2020-04-10 23:01:43,7598.0,246.0,774.0
2020-04-11 00:00:00,,India,2020-04-11 22:52:46,8446.0,288.0,969.0
2020-04-12 00:00:00,,India,2020-04-12 23:25:00,9205.0,331.0,1080.0
2020-04-13 00:00:00,,India,2020-04-13 23:15:42,10453.0,358.0,1181.0
2020-04-14 00:00:00,,India,2020-04-14 23:41:11,11487.0,393.0,1359.0
2020-04-15 00:00:00,,India,2020-04-15 23:04:26,12322.0,405.0,1432.0
2020-04-16 00:00:00,,India,2020-04-16 23:38:19,13430.0,448.0,1768.0
2020-04-17 00:00:00,,India,2020-04-17 23:38:48,14352.0,486.0,2041.0
2020-04-18 00:00:00,,India,2020-04-18 22:40:18,15722.0,521.0,2463.0
2020-04-19 00:00:00,,India,2020-04-19 23:49:05,17615.0,559.0,2854.0
2020-04-20 00:00:00,,India,2020-04-20 23:44:50,18539.0,592.0,3273.0
2020-04-21 00:00:00,,India,2020-04-21 23:39:09,20080.0,645.0,3975.0
2020-04-22 00:00:00,,India,2020-04-22 23:38:57,21370.0,681.0,4370.0
2020-04-23 00:00:00,,India,2020-04-24 03:31:35,23077.0,721.0,5012.0
2020-04-24 00:00:00,,India,2020-04-25 06:31:19,24530.0,780.0,5498.0
2020-04-25 00:00:00,,India,2020-04-26 02:31:18,26283.0,825.0,5939.0
2020-04-26 00:00:00,,India,2020-04-27 02:31:20,27890.0,881.0,6523.0
2020-04-27 00:00:00,,India,2020-04-28 02:31:20,29451.0,939.0,7137.0
2020-04-28 00:00:00,,India,2020-04-29 02:32:29,31324.0,1008.0,7747.0
2020-04-29 00:00:00,,India,2020-04-30 02:32:27,33062.0,1079.0,8437.0
2020-04-30 00:00:00,,India,2020-05-01 02:32:28,34863.0,1154.0,9068.0
2020-05-01 00:00:00,,India,2020-05-02 02:32:27,37257.0,1223.0,10007.0
2020-05-02 00:00:00,,India,2020-05-03 02:32:28,39699.0,1323.0,10819.0
2020-05-03 00:00:00,,India,2020-05-04 02:32:28,42505.0,1391.0,11775.0
2020-05-04 00:00:00,,India,2020-05-05 02:32:34,46437.0,1566.0,12847.0
2020-05-05 00:00:00,,India,2020-05-06 02:32:31,49400.0,1693.0,14142.0
2020-05-06 00:00:00,,India,2021-04-02 15:13:53,52987.0,1785.0,15331.0
2020-05-07 00:00:00,,India,2021-04-02 15:13:53,56351.0,1889.0,16776.0
2020-05-08 00:00:00,,India,2021-04-02 15:13:53,59695.0,1985.0,17887.0
2020-05-09 00:00:00,,India,2021-04-02 15:13:53,62808.0,2101.0,19301.0
2020-05-10 00:00:00,,India,2021-04-02 15:13:53,67161.0,2212.0,20969.0
2020-05-11 00:00:00,,India,2021-04-02 15:13:53,70768.0,2294.0,22549.0
2020-05-12 00:00:00,,India,2021-04-02 15:13:53,74292.0,2415.0,24420.0
2020-05-13 00:00:00,,India,2021-04-02 15:13:53,78055.0,2551.0,26400.0
2020-05-14 00:00:00,,India,2021-04-02 15:13:53,81997.0,2649.0,27969.0
2020-05-15 00:00:00,,India,2021-04-02 15:13:53,85784.0,2753.0,30258.0
2020-05-16 00:00:00,,India,2021-04-02 15:13:53,90648.0,2871.0,34224.0
2020-05-17 00:00:00,,India,2021-04-02 15:13:53,95698.0,3025.0,36795.0
2020-05-18 00:00:00,,India,2021-04-02 15:13:53,100328.0,3156.0,39233.0
2020-05-19 00:00:00,,India,2021-04-02 15:13:53,106475.0,3302.0,42309.0
2020-05-20 00:00:00,,India,2021-04-02 15:13:53,112028.0,3434.0,45422.0
2020-05-21 00:00:00,,India,2021-04-02 15:13:53,118226.0,3584.0,48553.0
2020-05-22 00:00:00,,India,2021-04-02 15:13:53,124794.0,3726.0,51824.0
2020-05-23 00:00:00,,India,2021-04-02 15:13:53,131423.0,3868.0,54385.0
2020-05-24 00:00:00,,India,2021-04-02 15:13:53,138536.0,4024.0,57692.0
2020-05-25 00:00:00,,India,2021-04-02 15:13:53,144950.0,4172.0,60706.0
2020-05-26 00:00:00,,India,2021-04-02 15:13:53,150793.0,4344.0,64277.0
2020-05-27 00:00:00,,India,2021-04-02 15:13:53,158086.0,4534.0,67749.0
2020-05-28 00:00:00,,India,2021-04-02 15:13:53,165386.0,4711.0,70920.0
2020-05-29 00:00:00,,India,2021-04-02 15:13:53,173491.0,4980.0,82627.0
2020-05-30 00:00:00,,India,2021-04-02 15:13:53,181827.0,5185.0,86936.0
2020-05-31 00:00:00,,India,2021-04-02 15:13:53,190609.0,5408.0,91852.0
2020-06-01 00:00:00,,India,2021-04-02 15:13:53,198370.0,5608.0,95754.0
2020-06-02 00:00:00,,India,2021-04-02 15:13:53,207191.0,5829.0,100285.0
2020-06-03 00:00:00,,India,2021-04-02 15:13:53,216824.0,6088.0,104071.0
2020-06-04 00:00:00,,India,2021-04-02 15:13:53,226713.0,6363.0,108450.0
2020-06-05 00:00:00,,India,2021-04-02 15:13:53,236184.0,6649.0,113233.0
2020-06-06 00:00:00,,India,2021-04-02 15:13:53,246622.0,6946.0,118695.0
2020-06-07 00:00:00,,India,2021-04-02 15:13:53,257486.0,7207.0,123848.0
2020-06-08 00:00:00,,India,2021-04-02 15:13:53,265928.0,7473.0,129095.0
2020-06-09 00:00:00,,India,2021-04-02 15:13:53,276146.0,7750.0,134670.0
2020-06-10 00:00:00,Andaman and Nicobar Islands,India,2021-04-02 15:13:53,33.0,0.0,33.0
2020-06-10 00:00:00,Andhra Pradesh,India,2021-04-02 15:13:53,5070.0,77.0,2802.0
2020-06-10 00:00:00,Arunachal Pradesh,India,2021-04-02 15:13:53,57.0,0.0,1.0
2020-06-10 00:00:00,Assam,India,2021-04-02 15:13:53,2937.0,4.0,1085.0
2020-06-10 00:00:00,Bihar,India,2021-04-02 15:13:53,5459.0,32.0,2864.0
2020-06-10 00:00:00,Chandigarh,India,2021-04-02 15:13:53,323.0,5.0,286.0
2020-06-10 00:00:00,Chhattisgarh,India,2021-04-02 15:13:53,1240.0,6.0,386.0
2020-06-10 00:00:00,Dadar Nagar Haveli,India,2021-04-02 15:13:53,22.0,0.0,2.0
2020-06-10 00:00:00,Delhi,India,2021-04-02 15:13:53,31309.0,905.0,11861.0
2020-06-10 00:00:00,Goa,India,2021-04-02 15:13:53,359.0,0.0,67.0
2020-06-10 00:00:00,Gujarat,India,2021-04-02 15:13:53,21014.0,1313.0,14365.0
2020-06-10 00:00:00,Haryana,India,2021-04-02 15:13:53,5209.0,45.0,2134.0
2020-06-10 00:00:00,Himachal Pradesh,India,2021-04-02 15:13:53,445.0,5.0,249.0
2020-06-10 00:00:00,Jammu and Kashmir,India,2021-04-02 15:13:53,4346.0,48.0,1506.0
2020-06-10 00:00:00,Jharkhand,India,2021-04-02 15:13:53,1411.0,8.0,559.0
2020-06-10 00:00:00,Karnataka,India,2021-04-02 15:13:53,5921.0,66.0,2604.0
2020-06-10 00:00:00,Kerala,India,2021-04-02 15:13:53,2096.0,16.0,848.0
2020-06-10 00:00:00,Ladakh,India,2021-04-02 15:13:53,108.0,1.0,52.0
2020-06-10 00:00:00,Madhya Pradesh,India,2021-04-02 15:13:53,9849.0,420.0,6729.0
